run,n_sales,replay_corr,sign_flips,RG,RL,PG,PL,PGR,PLR,ratio,ci_lo,ci_hi,ratio_fee_incl,paired_diff,t,p,n_agents_paired
Experiment 1 (original),3859,0.999997273928751,7,964,2895,1052,1643,0.478174603174603,0.637946231820185,0.749553143076459,0.652816637111352,0.826878167000953,0.746050937562499,0.355163907154693,16.548628068906,2.14472520729488e-27,80
Experiment 2 (factorial rerun A),4177,0.999996069665506,5,983,3194,1799,2121,0.35334291876348,0.600940733772343,0.587982972206604,0.510556009481513,0.659921247754215,0.585679964131751,0.358896586455887,20.5310242209595,2.07527858076807e-33,80
Experiment 3 (neutral rerun B),4469,0.999994668271885,8,1347,3122,1682,1722,0.444701221525256,0.644508670520231,0.689984854922594,0.626410649177763,0.749692599858074,0.687078417002178,0.294719060361297,12.9208031795795,3.55959317840191e-21,80
